MFR URL,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,With,Standard/Approvals,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,UNSPSC,Warranty,Selling Qty,Selling UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,Specification Sheet,Discontinued,Actual Image (Yes/No)
,DCB518ASTS06G,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,DCB518ASTS06G,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,Freud Inc (2435),Freud Inc,DIABLO®,Steel Demon™,DCB518ASTS06G,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"Freud Inc Diablo, Diablo 1/2""X18"", Sanding Belt 6Pc, Dcb518Asts06G","DIABLO 1/2""X18"" - SANDING BELT 6PC","Diablo® Dcb518Asts06G Diablo 1/2""X18"" - Sanding Belt 6Pc","DIABLO®, DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc, Package Quantity: 6 pc, Dimensions: 1/2 in x 18 in","Diablo® Dcb518Asts06G Diablo 1/2""X18"" - Sanding Belt 6Pc","DIABLO®, DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc, Package Quantity: 6 pc, Dimensions: 1/2 in x 18 in",Package Quantity: 6 pc,Dimensions: 1/2 in x 18 in,,,,,Sanding Belts,Package Quantity,6,pc,Dimensions,1/2 in x 18 in,,,,,,,31191501,,1,EA,DIABLO_DCB518ASTS06G.jpg,DIABLO_DCB518ASTS06G_1.jpg,DIABLO_DCB518ASTS06G_2.jpg,DIABLO_DCB518ASTS06G_3.jpg,DIABLO_DCB518ASTS06G_4.jpg,DIABLO_DCB518ASTS06G_Specification_Sheet.pdf,No,Yes
,3MABR-7100075678,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,3MABR-7100075678,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron II™,3MABR-7100075678,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"3M Company 3M, 3M 775L Stikit Film P150, Cubitron Ii 50 Disc/Box,",3M 775L STIKIT FILM P150 - CUBITRON II,3M™ 3Mabr-7100075678 3M 775L Stikit Film P150 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100075678, Grit: P150, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",3M™ 3Mabr-7100075678 3M 775L Stikit Film P150 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100075678, Grit: P150, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",Grit: P150,Package Quantity: 50 Disc/Box,Product Line / Series: Cubitron II,,,,Sanding Belts,Grit,P150,,Package Quantity,50,Disc/Box,Product Line / Series,Cubitron II,,,,31191501,,1,EA,3M_3MABR-7100075678.jpg,3M_3MABR-7100075678_1.jpg,3M_3MABR-7100075678_2.jpg,3M_3MABR-7100075678_3.jpg,3M_3MABR-7100075678_4.jpg,3M_3MABR-7100075678_Specification_Sheet.pdf,No,Yes
,3MABR-7100045865,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,3MABR-7100045865,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron II™,3MABR-7100045865,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"3M Company 3M, 3M 775L Stikit Film P120, Cubitron Ii 50 Disc/Box,",3M 775L STIKIT FILM P120 - CUBITRON II,3M™ 3Mabr-7100045865 3M 775L Stikit Film P120 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100045865, Grit: P120, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",3M™ 3Mabr-7100045865 3M 775L Stikit Film P120 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100045865, Grit: P120, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",Grit: P120,Package Quantity: 50 Disc/Box,Product Line / Series: Cubitron II,,,,Sanding Belts,Grit,P120,,Package Quantity,50,Disc/Box,Product Line / Series,Cubitron II,,,,31191501,,1,EA,3M_3MABR-7100045865.jpg,3M_3MABR-7100045865_1.jpg,3M_3MABR-7100045865_2.jpg,3M_3MABR-7100045865_3.jpg,3M_3MABR-7100045865_4.jpg,3M_3MABR-7100045865_Specification_Sheet.pdf,No,Yes
,3MABR-7100048736,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,3MABR-7100048736,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron II™,3MABR-7100048736,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"3M Company 3M, 3M 775L Stikit Film P80, Cubitron Ii 50 Disc/Box,",3M 775L STIKIT FILM P80 - CUBITRON II,3M™ 3Mabr-7100048736 3M 775L Stikit Film P80 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100048736, Grit: P80, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",3M™ 3Mabr-7100048736 3M 775L Stikit Film P80 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100048736, Grit: P80, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",Grit: P80,Package Quantity: 50 Disc/Box,Product Line / Series: Cubitron II,,,,Sanding Belts,Grit,P80,,Package Quantity,50,Disc/Box,Product Line / Series,Cubitron II,,,,31191501,,1,EA,3M_3MABR-7100048736.jpg,3M_3MABR-7100048736_1.jpg,3M_3MABR-7100048736_2.jpg,3M_3MABR-7100048736_3.jpg,3M_3MABR-7100048736_4.jpg,3M_3MABR-7100048736_Specification_Sheet.pdf,No,Yes
,3MABR-7100075690,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,3MABR-7100075690,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron II™,3MABR-7100075690,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"3M Company 3M, 3M 775L Stikit Film P180, Cubitron Ii 50 Disc/Box,",3M 775L STIKIT FILM P180 - CUBITRON II,3M™ 3Mabr-7100075690 3M 775L Stikit Film P180 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100075690, Grit: P180, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",3M™ 3Mabr-7100075690 3M 775L Stikit Film P180 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100075690, Grit: P180, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",Grit: P180,Package Quantity: 50 Disc/Box,Product Line / Series: Cubitron II,,,,Sanding Belts,Grit,P180,,Package Quantity,50,Disc/Box,Product Line / Series,Cubitron II,,,,31191501,,1,EA,3M_3MABR-7100075690.jpg,3M_3MABR-7100075690_1.jpg,3M_3MABR-7100075690_2.jpg,3M_3MABR-7100075690_3.jpg,3M_3MABR-7100075690_4.jpg,3M_3MABR-7100075690_Specification_Sheet.pdf,No,Yes
,3MABR-7100075692,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,3MABR-7100075692,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron II™,3MABR-7100075692,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"3M Company 3M, 3M 775L Stikit Film P220, Cubitron Ii 50 Disc/Box,",3M 775L STIKIT FILM P220 - CUBITRON II,3M™ 3Mabr-7100075692 3M 775L Stikit Film P220 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100075692, Grit: P220, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",3M™ 3Mabr-7100075692 3M 775L Stikit Film P220 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100075692, Grit: P220, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",Grit: P220,Package Quantity: 50 Disc/Box,Product Line / Series: Cubitron II,,,,Sanding Belts,Grit,P220,,Package Quantity,50,Disc/Box,Product Line / Series,Cubitron II,,,,31191501,,1,EA,3M_3MABR-7100075692.jpg,3M_3MABR-7100075692_1.jpg,3M_3MABR-7100075692_2.jpg,3M_3MABR-7100075692_3.jpg,3M_3MABR-7100075692_4.jpg,3M_3MABR-7100075692_Specification_Sheet.pdf,No,Yes
,3MABR-7100145365,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,3MABR-7100145365,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron II™,3MABR-7100145365,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"3M Company 3M, 3M 775L Stikit Film P320, Cubitron Ii 50 Disc/Box,",3M 775L STIKIT FILM P320 - CUBITRON II,3M™ 3Mabr-7100145365 3M 775L Stikit Film P320 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100145365, Grit: P320, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",3M™ 3Mabr-7100145365 3M 775L Stikit Film P320 - Cubitron Ii 50 Disc/Box,"3M™, 3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box, Part Number: 3MABR-7100145365, Grit: P320, Package Quantity: 50 Disc/Box, Product Line / Series: Cubitron II",Grit: P320,Package Quantity: 50 Disc/Box,Product Line / Series: Cubitron II,,,,Sanding Belts,Grit,P320,,Package Quantity,50,Disc/Box,Product Line / Series,Cubitron II,,,,31191501,,1,EA,3M_3MABR-7100145365.jpg,3M_3MABR-7100145365_1.jpg,3M_3MABR-7100145365_2.jpg,3M_3MABR-7100145365_3.jpg,3M_3MABR-7100145365_4.jpg,3M_3MABR-7100145365_Specification_Sheet.pdf,No,Yes
,5B-332-080,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,5B-332-080,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,MIRKA®,Abranet®,5B-332-080,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"Mirka Abrasives Inc Mirka, Hiolit 5"" P80, 5B-332-080 - Part Number: 5B-332-080","HIOLIT 5"" P80","Mirka® 5B-332-080 Hiolit 5"" P80","MIRKA®, 5B-332-080 HIOLIT 5"" P80, Grit: P80","Mirka® 5B-332-080 Hiolit 5"" P80","MIRKA®, 5B-332-080 HIOLIT 5"" P80, Grit: P80",Grit: P80,,,,,,Sanding Belts,Grit,P80,,,,,,,,,,31191501,,1,EA,MIRKA_5B-332-080.jpg,MIRKA_5B-332-080_1.jpg,MIRKA_5B-332-080_2.jpg,MIRKA_5B-332-080_3.jpg,MIRKA_5B-332-080_4.jpg,MIRKA_5B-332-080_Specification_Sheet.pdf,No,Yes
,5B-332-120,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,5B-332-120,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,MIRKA®,Abranet®,5B-332-120,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"Mirka Abrasives Inc Mirka, Hiolit 5"" P120, 5B-332-120 - Part Number: 5B-332-12","HIOLIT 5"" P120","Mirka® 5B-332-120 Hiolit 5"" P120","MIRKA®, 5B-332-120 HIOLIT 5"" P120, Grit: P120","Mirka® 5B-332-120 Hiolit 5"" P120","MIRKA®, 5B-332-120 HIOLIT 5"" P120, Grit: P120",Grit: P120,,,,,,Sanding Belts,Grit,P120,,,,,,,,,,31191501,,1,EA,MIRKA_5B-332-120.jpg,MIRKA_5B-332-120_1.jpg,MIRKA_5B-332-120_2.jpg,MIRKA_5B-332-120_3.jpg,MIRKA_5B-332-120_4.jpg,MIRKA_5B-332-120_Specification_Sheet.pdf,No,Yes
,9A-570-240,Tools & Abrasives,Abrasives,Sanding Belts & Sheets,9A-570-240,9A-570-240,9A-570-240 Abranet 2.75x30,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,MIRKA®,Abranet®,9A-570-240,Tools & Abrasives > Abrasives > Sanding Belts & Sheets > Sanding Belts,"Mirka Abrasives Inc Mirka, Abranet 2.75X30, 9A-570-240 - Part Number: 9A-570-2",ABRANET 2.75X30,Mirka® 9A-570-240 Abranet 2.75X30,"MIRKA®, 9A-570-240 Abranet 2.75x30, Amperage: 9 A, Dimensions: 2.75 in x 30 in",Mirka® 9A-570-240 Abranet 2.75X30,"MIRKA®, 9A-570-240 Abranet 2.75x30, Amperage: 9 A, Dimensions: 2.75 in x 30 in",Amperage: 9 A,Dimensions: 2.75 in x 30 in,,,,,Sanding Belts,Amperage,9,A,Dimensions,2.75 in x 30 in,,,,,,,31191501,,1,EA,MIRKA_9A-570-240.jpg,MIRKA_9A-570-240_1.jpg,MIRKA_9A-570-240_2.jpg,MIRKA_9A-570-240_3.jpg,MIRKA_9A-570-240_4.jpg,MIRKA_9A-570-240_Specification_Sheet.pdf,No,Yes
